,Origin,Dest,Origin_lat,Origin_long,Dest_lat,Dest_long,Distance
170,ATL,CLE,33.636719,-84.428067,41.411689,-81.849794,894.092696537
171,ATL,CLT,33.636719,-84.428067,35.214,-80.943139,364.674569489
172,ATL,CMH,33.636719,-84.428067,39.997972,-82.891889,720.626112292
173,ATL,COS,33.636719,-84.428067,38.805805,-104.700778,1903.1187926
174,ATL,CRP,33.636719,-84.428067,27.770361,-97.501222,1408.68840736
175,ATL,CRW,33.636719,-84.428067,38.373147,-81.593189,585.252419848
176,ATL,CSG,33.636719,-84.428067,32.5163333,-84.9388611,133.403861423
177,ATL,CVG,33.636719,-84.428067,39.048836,-84.667822,602.371245742
178,ATL,DAB,33.636719,-84.428067,29.179917,-81.058056,589.89828827
179,ATL,DAY,33.636719,-84.428067,39.902375,-84.219375,697.175225287
180,ATL,DCA,33.636719,-84.428067,38.852083,-77.037722,880.363000634
181,ATL,DEN,33.636719,-84.428067,39.861656,-104.673178,1927.23829151
182,ATL,DFW,33.636719,-84.428067,32.896828,-97.037997,1174.90285028
183,ATL,DHN,33.636719,-84.428067,31.321339,-85.449628,274.794286092
184,ATL,DSM,33.636719,-84.428067,41.533972,-93.663083,1196.14426462
185,ATL,DTW,33.636719,-84.428067,42.212444,-83.353389,958.501129717
186,ATL,EGE,33.636719,-84.428067,39.642556,-106.917694,2108.75110466
187,ATL,ELP,33.636719,-84.428067,31.80725,-106.377583,2060.1645023
188,ATL,ERI,33.636719,-84.428067,42.082022,-80.176217,1010.49491492
189,ATL,EVV,33.636719,-84.428067,38.036997,-87.532364,563.741899115
190,ATL,EWN,33.636719,-84.428067,35.072972,-77.042944,696.527346144
191,ATL,EWR,33.636719,-84.428067,40.6925,-74.168667,1199.69132223
192,ATL,EYW,33.636719,-84.428067,24.556111,-81.759556,1042.67093745
193,ATL,FAY,33.636719,-84.428067,34.9912,-78.8803,531.394315918
194,ATL,FCA,33.636719,-84.428067,48.310472,-114.256,2960.52682221
195,ATL,FLL,33.636719,-84.428067,26.072583,-80.15275,936.735350325
196,ATL,FLO,33.636719,-84.428067,34.185361,-79.723889,438.469062411
197,ATL,FNT,33.636719,-84.428067,42.965424,-83.743629,1039.33791676
198,ATL,FSD,33.636719,-84.428067,43.582014,-96.741914,1535.9357071
199,ATL,FSM,33.636719,-84.428067,35.336583,-94.367444,930.233125307
200,ATL,FWA,33.636719,-84.428067,40.978472,-85.195139,819.426400614
201,ATL,GNV,33.636719,-84.428067,29.690056,-82.271778,484.09365408
202,ATL,GPT,33.636719,-84.428067,30.407278,-89.070111,566.158492179
203,ATL,GRB,33.636719,-84.428067,44.485072,-88.129589,1247.92106943
204,ATL,GRK,33.636719,-84.428067,31.06725,-97.828917,1290.1977695
205,ATL,GRR,33.636719,-84.428067,42.880833,-85.522806,1032.629697
206,ATL,GSO,33.636719,-84.428067,36.09775,-79.937306,492.753994873
207,ATL,GSP,33.636719,-84.428067,34.895556,-82.218889,246.657569508
208,ATL,GTR,33.636719,-84.428067,33.450333,-88.591361,386.493749894
209,ATL,HDN,33.636719,-84.428067,40.481181,-107.21766,2153.75254601
210,ATL,HHH,33.636719,-84.428067,32.216,-80.752,377.807959848
211,ATL,HNL,33.636719,-84.428067,21.318681,-157.922428,7236.13686241
212,ATL,HOU,33.636719,-84.428067,29.645419,-95.278889,1118.53361139
213,ATL,HPN,33.636719,-84.428067,41.066959,-73.707575,1255.83650396
214,ATL,HSV,33.636719,-84.428067,34.6371944,-86.7750556,243.037764643
215,ATL,HTS,33.636719,-84.428067,38.3667,-82.558,552.333189158
216,ATL,IAD,33.636719,-84.428067,38.944533,-77.455811,859.299011435
217,ATL,IAH,33.636719,-84.428067,29.984433,-95.341442,1107.91607454
218,ATL,ICT,33.636719,-84.428067,37.649944,-97.433056,1256.072853
219,ATL,ILG,33.636719,-84.428067,39.678722,-75.606528,1034.06499337
220,ATL,ILM,33.636719,-84.428067,34.270615,-77.902569,606.074845651
221,ATL,IND,33.636719,-84.428067,39.717331,-86.294383,696.485455675
222,ATL,ISO,33.636719,-84.428067,35.331389,-77.608889,652.847298959
223,ATL,ISP,33.636719,-84.428067,40.79525,-73.100222,1279.08249162
224,ATL,JAC,33.636719,-84.428067,43.607333333,-110.73775,2526.39434383
225,ATL,JAN,33.636719,-84.428067,32.311167,-90.075889,547.163188491
226,ATL,JAX,33.636719,-84.428067,30.494056,-81.687861,434.587927807
227,ATL,JFK,33.636719,-84.428067,40.639751,-73.778925,1222.46835494
228,ATL,LAN,33.636719,-84.428067,42.7787,-84.587357,1016.95574525
229,ATL,LAS,33.636719,-84.428067,36.080056,-115.15225,2805.73363783
230,ATL,LAX,33.636719,-84.428067,33.942536,-118.408075,3126.76698871
231,ATL,LEX,33.636719,-84.428067,38.0365,-84.605889,489.64919364
232,ATL,LFT,33.636719,-84.428067,30.205278,-91.987611,809.010965284
233,ATL,LGA,33.636719,-84.428067,40.777245,-73.872608,1225.25066902
234,ATL,LIT,33.636719,-84.428067,34.729444,-92.224306,727.392684146
235,ATL,LWB,33.636719,-84.428067,37.858333,-80.399444,593.79048618
236,ATL,LYH,33.636719,-84.428067,37.3267,-79.2004,626.422985849
237,ATL,MCI,33.636719,-84.428067,39.297606,-94.713905,1113.72709226
238,ATL,MCN,33.636719,-84.428067,32.69285,-83.649211,127.59685608
239,ATL,MCO,33.636719,-84.428067,28.429394,-81.308994,650.941739624
240,ATL,MDT,33.636719,-84.428067,40.193494,-76.763403,997.442168354
241,ATL,MDW,33.636719,-84.428067,41.785972,-87.752417,952.255796126
242,ATL,MEI,33.636719,-84.428067,32.332624,-88.751868,428.65712184
243,ATL,MEM,33.636719,-84.428067,35.042417,-89.976667,532.959701608
244,ATL,MFE,33.636719,-84.428067,26.175833,-98.238611,1566.74516486
245,ATL,MGM,33.636719,-84.428067,32.3006389,-86.3939722,236.086410314
246,ATL,MHT,33.636719,-84.428067,42.932556,-71.435667,1531.54388586
247,ATL,MIA,33.636719,-84.428067,25.79325,-80.290556,959.36294123
248,ATL,MKE,33.636719,-84.428067,42.947222,-87.896583,1078.69252061
249,ATL,MLB,33.636719,-84.428067,28.102753,-80.645258,713.513833886
250,ATL,MLI,33.636719,-84.428067,41.448528,-90.507539,1020.36486294
251,ATL,MLU,33.636719,-84.428067,32.510864,-92.037689,720.062437355
252,ATL,MOB,33.636719,-84.428067,30.691231,-88.242814,486.089657238
253,ATL,MSN,33.636719,-84.428067,43.139858,-89.337514,1139.85445483
254,ATL,MSP,33.636719,-84.428067,44.881956,-93.221767,1460.17041028
255,ATL,MSY,33.636719,-84.428067,29.993389,-90.258028,683.792960043
