,Origin,Dest,Distance
304,ATL,STT,2575.62150334
305,ATL,STX,2639.0314767
306,ATL,SWF,1260.80303011
307,ATL,SYR,1278.03055229
308,ATL,TLH,360.480417147
309,ATL,TOL,885.966440861
310,ATL,TPA,655.160267172
311,ATL,TRI,365.396754274
312,ATL,TTN,1128.2460366
313,ATL,TUL,1082.60542762
314,ATL,TUP,406.675742726
315,ATL,TUS,2475.73984916
316,ATL,TVC,1239.14048272
317,ATL,TYS,245.074482734
318,ATL,VLD,335.448705815
319,ATL,VPS,402.614311791
320,ATL,XNA,946.848938363
321,ATW,ATL,1232.49810859
322,ATW,CVG,661.243147333
323,ATW,DTW,475.474651638
324,ATW,MKE,153.828198399
325,ATW,MSP,379.895406777
326,ATW,ORD,258.162613804
327,AUS,ABQ,995.273765294
328,AUS,ATL,1306.40283189
329,AUS,BHM,1096.32950339
330,AUS,BNA,1216.35447309
331,AUS,BOS,2730.5568451
332,AUS,BTR,626.810872922
333,AUS,BWI,2157.707935
334,AUS,CID,1405.47342706
335,AUS,CLE,1890.054047
336,AUS,COS,1153.58704064
337,AUS,CRP,270.138516958
338,AUS,CVG,1541.92057721
339,AUS,DAL,305.06948297
340,AUS,DEN,1249.21702212
341,AUS,DFW,306.484239638
342,AUS,DTW,1849.10672398
343,AUS,ELP,849.101463677
344,AUS,EWR,2417.66899888
345,AUS,GJT,1402.50122926
346,AUS,GPT,826.015442487
347,AUS,HOU,238.454307707
348,AUS,HRL,441.143247181
349,AUS,IAD,2085.01602115
350,AUS,IAH,225.302885679
351,AUS,IND,1479.89634851
352,AUS,JAX,1533.2277668
353,AUS,JFK,2446.2245367
354,AUS,LAS,1751.69317681
355,AUS,LAX,1994.9813576
356,AUS,LBB,549.970398132
357,AUS,MAF,473.481073793
358,AUS,MCI,1047.77528422
359,AUS,MCN,1358.11022936
360,AUS,MCO,1597.51139255
361,AUS,MDW,1565.64924681
362,AUS,MEM,899.62930977
363,AUS,MSP,1679.42052867
364,AUS,MSY,713.516688744
365,AUS,OKC,578.271171572
366,AUS,ONT,1922.62446975
367,AUS,ORD,1575.05319714
368,AUS,PHX,1401.3071933
369,AUS,PIA,1369.25391877
370,AUS,PWM,2836.14452933
371,AUS,RDU,1866.97217676
372,AUS,RFD,1538.81025971
373,AUS,SAN,1870.60740771
374,AUS,SAT,106.564229373
375,AUS,SEA,2848.28436116
376,AUS,SFO,2416.7619755
377,AUS,SJC,2372.1575466
378,AUS,SLC,1747.1353708
379,AUS,SNA,1942.18665911
380,AUS,STL,1162.40468323
381,AUS,TPA,1490.71932343
382,AUS,TUL,688.050617841
383,AUS,TUS,1280.3223778
384,AVL,ATL,264.436361358
385,AVL,CVG,443.707489173
386,AVL,DTW,756.983935454
387,AVL,EWR,937.051291787
388,AVL,IAH,1341.10472711
389,AVL,MSP,1386.09543269
390,AVP,ATL,1149.44694127
391,AVP,BUF,305.476364048
392,AVP,CVG,801.043492276
393,AVP,DTW,640.110336929
394,AVP,HPN,171.377403148
395,AVP,JFK,180.80779192
396,AVP,LGA,167.308233998
397,AVP,ORD,1013.94245069
398,AVP,PHL,168.128489368
399,AZO,ATL,961.414317029
400,AZO,CVG,362.149171498
401,AZO,DTW,181.113697117
402,AZO,MKE,207.685691051
403,AZO,MSP,684.369583681
404,AZO,ORD,196.229005752
405,BDL,ATL,1382.74725221
406,BDL,BNA,1368.8795372
407,BDL,BOS,146.241011747
408,BDL,BWI,455.86501127
409,BDL,CLE,763.44876102
410,BDL,CLT,1036.019983
411,BDL,CVG,1062.42374588
412,BDL,DCA,503.808822933
413,BDL,DEN,2683.75794804
414,BDL,DFW,2363.92207061
415,BDL,DTW,880.89526988
416,BDL,EWR,186.058722313
417,BDL,FLL,1892.48534942
418,BDL,GRR,1058.60524462
419,BDL,IAD,523.450665395
420,BDL,IAH,2423.10926983
421,BDL,IND,1170.571175
422,BDL,JFK,171.072514544
423,BDL,LAS,3689.48451531
424,BDL,LAX,4058.60772393
425,BDL,MCO,1692.74316522
426,BDL,MDW,1246.81400328
427,BDL,MIA,1926.36579517
428,BDL,MKE,1252.04179776
429,BDL,MSP,1686.74890599
430,BDL,ORD,1257.3793276
431,BDL,PBI,1826.58561871
432,BDL,PHL,314.765510611
433,BDL,PHX,3554.90840805
434,BDL,RDU,856.043288083
435,BDL,RSW,1902.78450528
436,BDL,SJU,2689.41205013
437,BDL,TPA,1791.10211723
438,BET,ANC,639.648655729
439,BFL,DEN,1357.16197889
440,BFL,IAH,2294.49674678
441,BFL,LAS,359.668555418
442,BFL,LAX,176.141802296
443,BFL,PHX,683.315896813
444,BFL,SAN,346.072855798
445,BFL,SFO,383.420292477
446,BFL,SLC,858.834977644
447,BFL,SMF,426.821694686
448,BGM,ATL,1206.35493504
449,BGM,DTW,607.286514692
450,BGM,JFK,253.262055462
451,BGR,ATL,1824.59705107
452,BGR,BOS,323.406609257
453,BGR,CVG,1455.53485758
454,BGR,DTW,1204.97008306
455,BGR,EWR,631.992766464
456,BGR,LGA,608.429029577
457,BGR,MSP,1916.51958509
458,BHM,ATL,215.5980694
459,BHM,AUS,1096.32950339
460,BHM,BNA,285.001553158
461,BHM,BWI,1096.8819061
462,BHM,CLT,563.958599104
463,BHM,CVG,638.13771581
464,BHM,DAL,942.808553711
465,BHM,DEN,1740.57402697
466,BHM,DFW,959.345548877
467,BHM,DTW,1007.07839363
468,BHM,EWR,1366.84552798
469,BHM,HOU,917.207967705
470,BHM,IAD,1025.64842138
471,BHM,IAH,903.932122765
472,BHM,JAX,586.981502877
473,BHM,LAS,2598.97398848
474,BHM,LGA,1393.06733234
475,BHM,MCO,771.427313071
476,BHM,MDW,918.843713097
477,BHM,MEM,338.773934052
478,BHM,MSY,517.069221721
479,BHM,OKC,1014.64651922
480,BHM,ORD,941.502363207
481,BHM,PHX,2336.98493955
482,BHM,RDU,772.170391375
483,BHM,SDF,521.013811891
484,BHM,SLC,2365.51476306
485,BHM,STL,661.815823568
486,BHM,TPA,740.712921128
487,BIL,DEN,732.572481323
488,BIL,IDA,378.445946015
489,BIL,MSP,1199.90601235
490,BIL,ORD,1702.51321366
491,BIL,PIH,456.138509949
492,BIL,SFO,1462.68524656
493,BIL,SLC,623.893632402
494,BIS,DEN,831.493888882
495,BIS,MSP,620.610757523
496,BIS,SLC,1118.63228542
497,BJI,MSP,320.742631975
498,BLI,SEA,150.416285959
499,BLI,SLC,1217.39523151
500,BLI,TWF,939.52731049
501,BMI,ATL,858.519859442
502,BMI,LAS,2333.30011458
503,BMI,MCO,1509.30148115
504,BMI,ORD,187.203710554
505,BNA,ATL,344.538523775
506,BNA,AUS,1216.35447309
507,BNA,BDL,1368.8795372
508,BNA,BHM,285.001553158
509,BNA,BOS,1514.77465769
510,BNA,BWI,943.938325059
511,BNA,CLE,721.660990267
512,BNA,CLT,527.951855958
513,BNA,CMH,543.553841105
514,BNA,CVG,370.383479412
515,BNA,DCA,902.765339151
516,BNA,DEN,1628.11124156
517,BNA,DFW,1014.46458296
518,BNA,DTW,735.198596926
519,BNA,EWR,1201.38995707
520,BNA,FLL,1278.34512758
521,BNA,HOU,1078.34954263
522,BNA,IAD,871.3150502
523,BNA,IAH,1056.85553973
524,BNA,ICT,971.146974295
525,BNA,JAX,779.079873739
526,BNA,JFK,1230.14444451
527,BNA,LAS,2549.68588358
528,BNA,LAX,2887.23211757
529,BNA,LGA,1228.06358052
530,BNA,MCI,789.871121665
531,BNA,MCO,993.309036942
532,BNA,MDW,636.529296817
533,BNA,MEM,321.715416014
534,BNA,MIA,1299.8243781
535,BNA,MSP,1119.41754021
536,BNA,MSY,759.06969798
537,BNA,OAK,3146.54247194
538,BNA,ONT,2811.96072378
539,BNA,ORD,659.696195343
540,BNA,ORF,940.090101956
541,BNA,PHL,1084.63990316
542,BNA,PHX,2327.02173371
543,BNA,PVD,1457.38053337
544,BNA,RDU,710.386743173
545,BNA,SAN,2812.92893873
546,BNA,SAT,1322.03690055
547,BNA,SEA,3177.37634502
548,BNA,SLC,2255.34770861
549,BNA,STL,437.551995726
550,BNA,TPA,986.765347974
551,BOI,ATL,2953.80724531
552,BOI,CID,2004.30904565
553,BOI,COS,1098.77832586
554,BOI,DEN,1042.505274
555,BOI,FSD,1566.26906308
556,BOI,GEG,462.469719666
557,BOI,GJT,810.058742581
558,BOI,LAS,837.465115831
559,BOI,LAX,1086.77520346
560,BOI,MLI,2113.18840734
561,BOI,MSP,1833.10840321
562,BOI,OAK,823.313419134
563,BOI,ONT,1064.29373662
564,BOI,ORD,2307.67905856
565,BOI,PDX,552.774163624
566,BOI,PHX,1184.46403171
567,BOI,RNO,539.880029568
568,BOI,SAN,1207.64804512
569,BOI,SEA,641.362251266
570,BOI,SFO,840.50488337
571,BOI,SLC,466.560028381
572,BOI,TVC,2434.32713933
573,BOI,TWF,185.484979819
574,BOS,ATL,1522.0322006
575,BOS,AUS,2730.5568451
576,BOS,BGR,323.406609257
577,BOS,BNA,1514.77465769
578,BOS,BUF,635.133821208
579,BOS,BWI,594.250232558
580,BOS,CAK,881.813510804
581,BOS,CHS,1318.14388674
582,BOS,CLE,903.590903675
583,BOS,CLT,1171.04991015
584,BOS,CMH,1028.34380974
585,BOS,CVG,1208.00317715
586,BOS,DAY,1139.0959487
587,BOS,DCA,641.681852591
588,BOS,DEN,2816.63273155
589,BOS,DFW,2510.0578428
590,BOS,DTW,1015.30971096
591,BOS,EWR,322.409568233
592,BOS,FLL,1994.93794602
593,BOS,GSO,1037.23533485
594,BOS,IAD,663.760659188
595,BOS,IAH,2568.45610509
596,BOS,IND,1314.06359993
597,BOS,JAX,1627.18073558
598,BOS,JFK,300.282139725
599,BOS,LAS,3823.89478971
600,BOS,LAX,4194.35152053
601,BOS,LGA,296.787331024
602,BOS,LGB,4179.66772791
603,BOS,MCO,1806.54741934
604,BOS,MDW,1381.94653206
605,BOS,MEM,1831.56098335
606,BOS,MIA,2028.91676394
607,BOS,MSP,1804.79509816
608,BOS,MSY,2200.26514138
609,BOS,MYR,1188.3654719
610,BOS,OAK,4325.61017346
611,BOS,ORD,1391.51987928
612,BOS,ORF,753.508437924
613,BOS,PBI,1930.09722138
614,BOS,PDX,4073.55945904
615,BOS,PHF,747.295853751
616,BOS,PHL,450.287490227
617,BOS,PHX,3694.90374775
618,BOS,PIT,796.813900146
619,BOS,RDU,984.818243472
620,BOS,RIC,762.56320034
621,BOS,ROC,550.916074176
622,BOS,RSW,2013.92990718
623,BOS,SAN,4157.1763094
624,BOS,SAV,1450.84287849
625,BOS,SDF,1332.12169673
626,BOS,SEA,4006.78831747
627,BOS,SFO,4342.59752146
628,BOS,SJC,4318.02619969
629,BOS,SJU,2702.83149334
630,BOS,SLC,3380.59790689
631,BOS,SRQ,1966.19886608
632,BOS,STL,1681.12469893
633,BOS,STT,2732.66369761
634,BOS,TPA,1909.06695945
635,BOS,TTN,393.796482882
