STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WDMV
GHCND:USC00112223,DE KALB IL US,20070528,-9999,-9999,0,0,0,228,122,156,-9999
GHCND:USC00112223,DE KALB IL US,20070529,-9999,-9999,30,0,0,239,144,189,-9999
GHCND:USC00112223,DE KALB IL US,20070530,-9999,-9999,33,0,0,306,178,206,-9999
GHCND:USC00112223,DE KALB IL US,20070531,-9999,-9999,8,0,0,294,200,206,-9999
GHCND:USC00112223,DE KALB IL US,20070601,-9999,-9999,61,0,0,244,172,178,-9999
GHCND:USC00112223,DE KALB IL US,20070602,-9999,-9999,112,0,0,278,172,194,45
GHCND:USC00112223,DE KALB IL US,20070603,-9999,-9999,0,0,0,250,161,167,61
GHCND:USC00112223,DE KALB IL US,20070604,-9999,-9999,173,0,0,239,150,156,66
GHCND:USC00112223,DE KALB IL US,20070605,-9999,-9999,81,0,0,200,106,117,58
GHCND:USC00112223,DE KALB IL US,20070606,-9999,-9999,18,0,0,183,83,100,51
GHCND:USC00112223,DE KALB IL US,20070607,-9999,-9999,10,0,0,211,100,211,103
GHCND:USC00112223,DE KALB IL US,20070608,-9999,-9999,0,0,0,300,194,194,177
GHCND:USC00112223,DE KALB IL US,20070609,-9999,-9999,0,0,0,222,100,133,58
GHCND:USC00112223,DE KALB IL US,20070610,-9999,-9999,0,0,0,256,133,167,27
GHCND:USC00112223,DE KALB IL US,20070611,-9999,-9999,0,0,0,261,161,194,35
GHCND:USC00112223,DE KALB IL US,20070612,-9999,-9999,0,0,0,289,183,200,66
GHCND:USC00112223,DE KALB IL US,20070613,-9999,-9999,0,0,0,289,178,194,79
GHCND:USC00112223,DE KALB IL US,20070614,-9999,-9999,0,0,0,300,183,206,69
GHCND:USC00112223,DE KALB IL US,20070615,-9999,-9999,0,0,0,322,200,222,60
GHCND:USC00112223,DE KALB IL US,20070616,-9999,-9999,0,0,0,322,200,211,27
GHCND:USC00112223,DE KALB IL US,20070617,-9999,-9999,0,0,0,328,200,222,39
GHCND:USC00112223,DE KALB IL US,20070618,-9999,-9999,0,0,0,328,206,233,43
GHCND:USC00112223,DE KALB IL US,20070619,-9999,-9999,366,0,0,300,200,200,106
GHCND:USC00112223,DE KALB IL US,20070620,-9999,-9999,0,0,0,256,150,161,79
GHCND:USC00112223,DE KALB IL US,20070621,-9999,-9999,0,0,0,283,161,194,69
GHCND:USC00112223,DE KALB IL US,20070622,-9999,-9999,13,0,0,278,139,172,82
GHCND:USC00112223,DE KALB IL US,20070623,-9999,-9999,41,0,0,244,150,150,77
GHCND:USC00112223,DE KALB IL US,20070624,-9999,-9999,127,0,0,189,150,178,72
GHCND:USC00112223,DE KALB IL US,20070625,-9999,-9999,0,0,0,244,178,206,40
GHCND:USC00112223,DE KALB IL US,20070626,-9999,-9999,0,0,0,294,200,222,40
GHCND:USC00112223,DE KALB IL US,20070627,-9999,-9999,13,0,0,300,206,211,56
GHCND:USC00112223,DE KALB IL US,20070628,-9999,-9999,25,0,0,317,183,189,74
GHCND:USC00112223,DE KALB IL US,20070629,-9999,-9999,0,0,0,222,106,111,89
GHCND:USC00112223,DE KALB IL US,20070630,-9999,-9999,0,0,0,217,111,133,53
GHCND:USC00112223,DE KALB IL US,20070701,-9999,-9999,0,0,0,250,133,161,58
GHCND:USC00112223,DE KALB IL US,20070702,-9999,-9999,0,0,0,256,133,150,87
GHCND:USC00112223,DE KALB IL US,20070703,-9999,-9999,0,0,0,256,150,167,50
GHCND:USC00112223,DE KALB IL US,20070704,-9999,-9999,122,0,0,283,167,194,90
GHCND:USC00112223,DE KALB IL US,20070705,-9999,-9999,0,0,0,289,194,200,50
