STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080305,3,-27,-188,24,330,330,63,94,1654
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080306,0,-43,-188,21,330,340,67,98,1606
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080307,0,11,-160,17,220,210,40,58,2020
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080308,3,17,-99,16,320,270,40,63,1735
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080309,0,39,-93,18,160,320,45,98,902
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080310,0,11,-99,22,20,20,72,94,1118
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080311,0,61,-138,25,220,210,45,63,203
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080312,0,61,-93,21,340,350,76,107,1449
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080313,15,50,-93,21,330,360,76,143,1544
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080314,140,0,-99,16,10,340,54,81,912
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080316,25,17,-49,-9999,260,260,63,72,1510
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080317,0,28,-71,19,350,340,63,89,1753
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080318,0,17,-82,23,350,350,63,94,1359
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080319,0,67,-110,22,220,210,54,63,502
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080320,23,72,-71,21,240,250,89,134,1025
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080321,0,61,-99,24,330,350,89,134,1433
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080322,0,22,-88,25,350,350,72,89,1554
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080323,0,39,-138,24,220,210,54,63,2245
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080324,0,100,-88,24,360,10,58,72,1453
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080325,0,106,-49,24,320,270,58,81,1505
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080326,0,117,-5,31,270,250,89,134,2353
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080327,0,83,-27,30,240,230,98,139,858
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080328,0,72,-93,22,180,190,89,98,1938
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080329,15,50,-10,11,170,180,63,72,1430
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080330,89,89,-10,28,190,180,107,157,1221
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080331,91,6,-132,30,350,350,81,112,1455
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080401,0,22,-171,15,350,360,45,58,1600
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080402,0,89,-55,25,170,220,89,116,1419
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080403,25,28,-71,24,330,330,81,125,515
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080404,0,78,-105,21,130,130,58,72,1935
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080405,10,56,-32,35,340,350,98,130,2017
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080406,0,50,-43,27,150,150,89,143,1654
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080407,58,22,-55,20,330,320,116,161,747
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080408,0,61,-93,22,170,180,76,94,1402
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080409,13,39,-16,20,350,360,63,81,1157
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080410,25,-5,-38,46,340,330,89,134,1537
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080411,8,-10,-105,19,30,310,67,116,1458
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080412,0,33,-143,23,330,340,67,103,1542
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080413,0,111,-60,18,220,220,54,63,2046
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080414,0,139,-32,26,150,180,63,76,1943
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080415,0,156,6,52,190,180,143,219,1422
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080416,8,22,-55,26,270,280,76,94,2008
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080417,5,33,-66,21,320,350,67,103,1420
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080418,0,111,-77,25,340,340,58,72,1445
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080419,0,161,-10,47,170,170,107,143,1119
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080420,0,122,0,40,180,190,116,157,1346
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080421,0,106,-49,34,200,170,107,170,1221
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080422,0,144,-55,25,180,180,63,89,1451
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080423,0,167,-10,38,230,170,103,134,2107
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080424,10,111,-55,36,180,340,103,139,2057
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080425,0,72,-93,29,320,320,89,125,1328
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080426,0,44,-49,41,320,360,98,134,745
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080427,0,111,-77,31,320,330,81,107,1357
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080428,0,156,-38,31,340,290,76,139,1314
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080429,0,183,0,38,180,180,112,139,1146
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080430,3,167,-5,42,190,190,139,210,1726
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080501,41,0,-49,36,340,330,107,134,542
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080502,0,28,-43,41,340,330,103,148,1151
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080503,0,100,-71,18,340,340,67,103,1415
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080504,0,144,-21,26,270,260,89,116,1245
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080505,0,189,-16,25,180,180,81,112,1147
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080506,0,183,11,39,340,330,94,130,1333
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080507,43,161,17,28,210,200,116,161,1632
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080508,152,67,-5,24,130,90,94,139,504
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080509,94,144,-10,30,220,210,98,174,1530
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080510,43,67,-21,34,320,330,107,161,813
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080511,0,161,-38,28,210,190,81,103,1536
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080512,10,161,-5,37,320,310,107,170,1650
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080513,25,56,-5,21,350,340,45,125,539
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080514,5,106,-5,24,310,360,72,103,1357
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080515,10,100,0,28,140,140,72,89,1335
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080516,0,150,-5,24,320,350,72,103,1709
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080517,0,194,6,30,360,210,81,112,714
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080518,0,211,22,35,340,350,98,143,1358
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080519,0,228,33,44,360,360,94,139,1157
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080520,0,239,44,31,180,190,112,139,2051
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080521,0,222,61,44,170,170,157,241,1314
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080522,28,94,-5,23,320,330,81,112,1236
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080523,13,128,-10,47,140,140,116,148,720
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080524,8,117,-10,22,190,200,72,94,1500
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080525,0,183,11,22,360,360,67,89,1605
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080526,0,189,33,47,210,170,116,165,1249
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080527,0,194,11,26,130,250,67,112,1435
GHCND:USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD CO US,20080528,0,222,61,44,180,180,116,161,955
