STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070511,-9999,0,0,0,311,178,15,30,30,67,81,1429
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070512,-9999,0,0,0,306,167,21,50,100,58,76,1329
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070513,-9999,0,0,0,311,189,27,190,190,67,89,1700
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070514,-9999,0,0,0,306,217,54,200,200,107,139,1105
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070515,-9999,86,0,0,256,128,42,330,320,98,134,1442
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070516,-9999,0,0,0,239,106,22,310,330,63,89,1347
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070517,-9999,0,0,0,239,117,35,40,50,89,107,225
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070518,-9999,0,0,0,228,117,40,150,160,76,116,556
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070519,-9999,0,0,0,267,144,41,210,190,81,116,1432
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070520,-9999,0,0,0,267,172,39,180,170,76,103,1417
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070521,-9999,0,0,0,272,172,50,180,150,98,157,1532
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070522,-9999,0,0,0,272,194,67,180,170,103,143,1754
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070523,-9999,0,0,0,283,200,67,180,170,107,148,635
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070524,-9999,15,0,0,239,139,51,290,280,107,157,1140
