STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080218,15,635,28,-61,-128,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080219,5,635,15,-122,-194,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080220,0,584,0,-122,-194,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080221,0,584,0,-67,-228,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080222,0,584,0,-44,-194,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080223,0,584,0,0,-200,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080224,0,584,0,56,-178,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080225,3,584,5,-17,-117,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080226,5,584,15,-67,-117,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080227,8,610,28,-106,-233,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080228,0,610,0,-39,-244,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080229,25,610,89,-44,-89,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080301,0,660,13,-22,-111,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080302,3,635,0,28,-100,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080303,5,584,5,11,-133,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080304,0,584,3,-72,-217,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080305,15,584,56,-28,-156,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20080306,0,635,5,-83,-178,-9999
