STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00481840,CODY WY US,20070417,-9999,-9999,0,0,0,206,11,189
GHCND:USC00481840,CODY WY US,20070418,-9999,-9999,0,0,0,194,50,128
GHCND:USC00481840,CODY WY US,20070419,-9999,-9999,150,0,76,133,6,67
GHCND:USC00481840,CODY WY US,20070420,-9999,-9999,0,0,0,128,-6,89
GHCND:USC00481840,CODY WY US,20070421,-9999,-9999,0,0,0,117,17,117
GHCND:USC00481840,CODY WY US,20070422,-9999,-9999,0,0,0,161,6,133
GHCND:USC00481840,CODY WY US,20070423,-9999,-9999,117,0,0,133,50,94
GHCND:USC00481840,CODY WY US,20070424,-9999,-9999,0,0,0,161,44,150
GHCND:USC00481840,CODY WY US,20070425,-9999,-9999,0,0,0,189,61,183
GHCND:USC00481840,CODY WY US,20070426,-9999,-9999,46,0,0,183,39,122
GHCND:USC00481840,CODY WY US,20070427,-9999,-9999,0,0,0,206,39,189
GHCND:USC00481840,CODY WY US,20070428,-9999,-9999,0,0,0,261,94,256
GHCND:USC00481840,CODY WY US,20070429,-9999,-9999,0,0,0,272,83,239
GHCND:USC00481840,CODY WY US,20070430,-9999,-9999,0,0,0,250,106,183
GHCND:USC00481840,CODY WY US,20070501,-9999,-9999,0,0,0,256,44,239
GHCND:USC00481840,CODY WY US,20070502,-9999,-9999,0,0,0,250,100,167
GHCND:USC00481840,CODY WY US,20070503,-9999,-9999,5,0,0,167,94,128
GHCND:USC00481840,CODY WY US,20070504,-9999,-9999,0,0,0,139,6,106
GHCND:USC00481840,CODY WY US,20070505,-9999,-9999,36,0,0,106,0,33
GHCND:USC00481840,CODY WY US,20070506,-9999,-9999,0,0,0,144,33,139
GHCND:USC00481840,CODY WY US,20070507,-9999,-9999,0,0,0,206,28,200
GHCND:USC00481840,CODY WY US,20070508,-9999,-9999,0,0,0,239,56,233
GHCND:USC00481840,CODY WY US,20070509,-9999,-9999,0,0,0,267,100,228
GHCND:USC00481840,CODY WY US,20070510,-9999,-9999,10,0,0,250,83,211
GHCND:USC00481840,CODY WY US,20070511,-9999,-9999,13,0,0,267,56,250
GHCND:USC00481840,CODY WY US,20070512,-9999,-9999,0,0,0,300,83,289
GHCND:USC00481840,CODY WY US,20070513,-9999,-9999,0,0,0,294,128,256
GHCND:USC00481840,CODY WY US,20070514,-9999,-9999,0,0,0,256,78,133
GHCND:USC00481840,CODY WY US,20070515,-9999,-9999,0,0,0,211,33,206
GHCND:USC00481840,CODY WY US,20070516,-9999,-9999,0,0,0,250,50,244
GHCND:USC00481840,CODY WY US,20070517,-9999,-9999,0,0,0,278,89,239
GHCND:USC00481840,CODY WY US,20070518,-9999,-9999,0,0,0,278,128,222
GHCND:USC00481840,CODY WY US,20070519,-9999,-9999,0,0,0,278,111,233
GHCND:USC00481840,CODY WY US,20070520,-9999,-9999,0,0,0,233,106,200
GHCND:USC00481840,CODY WY US,20070521,-9999,-9999,0,0,0,206,89,167
GHCND:USC00481840,CODY WY US,20070522,-9999,-9999,5,0,0,167,33,67
GHCND:USC00481840,CODY WY US,20070523,-9999,-9999,48,0,0,133,28,128
GHCND:USC00481840,CODY WY US,20070524,-9999,-9999,3,0,0,172,33,156
GHCND:USC00481840,CODY WY US,20070525,-9999,-9999,28,0,0,161,56,128
GHCND:USC00481840,CODY WY US,20070526,-9999,-9999,0,0,0,211,22,211
GHCND:USC00481840,CODY WY US,20070527,-9999,-9999,0,0,0,278,100,267
GHCND:USC00481840,CODY WY US,20070528,-9999,-9999,0,0,0,267,111,156
GHCND:USC00481840,CODY WY US,20070529,-9999,-9999,13,0,0,156,17,106
GHCND:USC00481840,CODY WY US,20070530,-9999,-9999,5,0,0,200,56,156
GHCND:USC00481840,CODY WY US,20070531,-9999,-9999,0,0,0,167,56,122
GHCND:USC00481840,CODY WY US,20070601,-9999,-9999,28,0,0,167,100,167
GHCND:USC00481840,CODY WY US,20070602,-9999,-9999,0,0,0,244,94,233
GHCND:USC00481840,CODY WY US,20070603,-9999,-9999,0,0,0,250,111,217
GHCND:USC00481840,CODY WY US,20070604,-9999,-9999,0,0,0,256,122,244
GHCND:USC00481840,CODY WY US,20070605,-9999,-9999,13,0,0,278,156,217
GHCND:USC00481840,CODY WY US,20070606,-9999,-9999,269,0,0,222,94,111
GHCND:USC00481840,CODY WY US,20070607,-9999,-9999,221,0,0,139,56,117
GHCND:USC00481840,CODY WY US,20070608,-9999,-9999,0,0,0,200,44,189
GHCND:USC00481840,CODY WY US,20070609,-9999,-9999,0,0,0,239,117,228
GHCND:USC00481840,CODY WY US,20070610,-9999,-9999,0,0,0,256,122,256
GHCND:USC00481840,CODY WY US,20070611,-9999,-9999,20,0,0,256,111,189
GHCND:USC00481840,CODY WY US,20070612,-9999,-9999,0,0,0,244,133,233
GHCND:USC00481840,CODY WY US,20070613,-9999,-9999,0,0,0,278,111,267
GHCND:USC00481840,CODY WY US,20070614,-9999,-9999,0,0,0,272,122,194
GHCND:USC00481840,CODY WY US,20070615,-9999,-9999,0,0,0,228,100,211
GHCND:USC00481840,CODY WY US,20070616,-9999,-9999,0,0,0,267,89,244
GHCND:USC00481840,CODY WY US,20070617,-9999,-9999,13,0,0,261,133,167
GHCND:USC00481840,CODY WY US,20070618,-9999,-9999,0,0,0,211,78,200
GHCND:USC00481840,CODY WY US,20070619,-9999,-9999,0,0,0,278,78,267
GHCND:USC00481840,CODY WY US,20070620,-9999,-9999,0,0,0,294,128,294
GHCND:USC00481840,CODY WY US,20070621,-9999,-9999,0,0,0,300,139,289
GHCND:USC00481840,CODY WY US,20070622,-9999,-9999,0,0,0,322,128,317
GHCND:USC00481840,CODY WY US,20070623,-9999,-9999,0,0,0,350,178,328
GHCND:USC00481840,CODY WY US,20070624,-9999,-9999,0,0,0,333,133,311
GHCND:USC00481840,CODY WY US,20070625,-9999,-9999,0,0,0,328,144,283
GHCND:USC00481840,CODY WY US,20070626,-9999,-9999,0,0,0,283,67,228
GHCND:USC00481840,CODY WY US,20070627,-9999,-9999,0,0,0,256,83,239
GHCND:USC00481840,CODY WY US,20070628,-9999,-9999,0,0,0,333,117,322
GHCND:USC00481840,CODY WY US,20070629,-9999,-9999,0,0,0,350,144,322
GHCND:USC00481840,CODY WY US,20070630,-9999,-9999,0,0,0,344,172,306
GHCND:USC00481840,CODY WY US,20070701,-9999,-9999,0,0,0,306,128,289
GHCND:USC00481840,CODY WY US,20070702,-9999,-9999,0,0,0,333,144,322
GHCND:USC00481840,CODY WY US,20070703,-9999,-9999,0,0,0,328,189,294
GHCND:USC00481840,CODY WY US,20070704,-9999,-9999,0,0,0,317,178,289
GHCND:USC00481840,CODY WY US,20070705,-9999,-9999,0,0,0,322,172,317
GHCND:USC00481840,CODY WY US,20070706,-9999,-9999,0,0,0,350,178,306
GHCND:USC00481840,CODY WY US,20070707,-9999,-9999,0,0,0,322,189,267
GHCND:USC00481840,CODY WY US,20070708,-9999,-9999,0,0,0,289,139,256
GHCND:USC00481840,CODY WY US,20070709,-9999,-9999,0,0,0,294,139,294
GHCND:USC00481840,CODY WY US,20070710,-9999,-9999,0,0,0,294,128,239
GHCND:USC00481840,CODY WY US,20070711,-9999,-9999,0,0,0,278,117,267
GHCND:USC00481840,CODY WY US,20070712,-9999,-9999,0,0,0,294,139,278
GHCND:USC00481840,CODY WY US,20070713,-9999,-9999,0,0,0,311,156,267
GHCND:USC00481840,CODY WY US,20070714,-9999,-9999,0,0,0,317,178,289
GHCND:USC00481840,CODY WY US,20070715,-9999,-9999,0,0,0,344,156,322
GHCND:USC00481840,CODY WY US,20070716,-9999,-9999,0,0,0,339,200,267
GHCND:USC00481840,CODY WY US,20070717,-9999,-9999,0,0,0,333,211,267
GHCND:USC00481840,CODY WY US,20070718,-9999,-9999,0,0,0,322,167,317
GHCND:USC00481840,CODY WY US,20070719,-9999,-9999,0,0,0,350,189,322
GHCND:USC00481840,CODY WY US,20070720,-9999,-9999,0,0,0,339,167,322
GHCND:USC00481840,CODY WY US,20070721,-9999,-9999,0,0,0,367,222,367
GHCND:USC00481840,CODY WY US,20070722,-9999,-9999,0,0,0,372,211,339
GHCND:USC00481840,CODY WY US,20070723,-9999,-9999,0,0,0,367,189,356
GHCND:USC00481840,CODY WY US,20070724,-9999,-9999,0,0,0,367,183,283
GHCND:USC00481840,CODY WY US,20070725,-9999,-9999,18,0,0,289,178,222
GHCND:USC00481840,CODY WY US,20070726,-9999,-9999,61,0,0,233,178,200
GHCND:USC00481840,CODY WY US,20070727,-9999,-9999,0,0,0,261,161,233
GHCND:USC00481840,CODY WY US,20070728,-9999,-9999,0,0,0,306,150,294
GHCND:USC00481840,CODY WY US,20070729,-9999,-9999,0,0,0,317,161,311
GHCND:USC00481840,CODY WY US,20070730,-9999,-9999,0,0,0,333,172,333
GHCND:USC00481840,CODY WY US,20070731,-9999,-9999,0,0,0,333,183,289
