STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070316,0,-9999,0,139,-28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070317,0,-9999,0,178,-17
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070318,0,-9999,0,189,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070319,0,-9999,0,200,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070320,0,-9999,-9999,-9999,-9999
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070321,-9999,-9999,-9999,172,50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070322,-9999,-9999,-9999,122,0
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070323,0,-9999,-9999,161,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070324,-9999,-9999,-9999,72,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070325,-9999,-9999,-9999,72,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070326,-9999,-9999,-9999,128,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070327,-9999,-9999,-9999,172,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070328,-9999,-9999,-9999,194,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070329,-9999,-9999,-9999,61,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070330,-9999,-9999,-9999,44,-39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070331,-9999,-9999,-9999,72,0
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070401,0,-9999,-9999,-9999,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070402,-9999,-9999,-9999,178,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070403,-9999,-9999,-9999,178,-17
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070404,0,-9999,0,178,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070405,-9999,-9999,-9999,178,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070406,-9999,-9999,-9999,161,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070407,-9999,-9999,-9999,172,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070408,-9999,-9999,-9999,144,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070409,-9999,-9999,-9999,122,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070410,-9999,-9999,-9999,139,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070411,-9999,-9999,-9999,28,-72
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070415,0,-9999,0,150,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070416,-9999,-9999,-9999,189,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070417,-9999,-9999,-9999,144,50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070418,-9999,-9999,-9999,144,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070419,-9999,-9999,-9999,183,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070420,0,-9999,0,111,-61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070421,-9999,-9999,-9999,183,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070422,-9999,-9999,-9999,128,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070423,-9999,-9999,-9999,122,33
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070424,-9999,-9999,-9999,89,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070425,-9999,-9999,-9999,89,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070426,-9999,0,-9999,128,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070427,0,-9999,-9999,161,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070428,0,-9999,0,-9999,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070429,-9999,-9999,-9999,250,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070430,-9999,-9999,-9999,228,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070501,-9999,-9999,0,228,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070502,-9999,-9999,0,222,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070503,0,-9999,0,178,61
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070504,-9999,-9999,-9999,211,-11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070506,3,-9999,-9999,111,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070507,-9999,-9999,-9999,78,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070508,0,-9999,0,-9999,-22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070509,0,-9999,0,178,11
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070510,-9999,-9999,-9999,200,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070511,-9999,-9999,-9999,233,28
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070512,-9999,0,0,261,50
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070513,-9999,-9999,-9999,250,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070514,-9999,-9999,-9999,239,89
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070515,-9999,-9999,-9999,228,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070516,-9999,0,0,222,22
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070517,-9999,0,0,222,39
GHCND:USW00023063,EAGLE CO AIRPORT CO US,20070518,-9999,0,0,211,22
