STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TOBS
GHCND:USC00210643,BEMIDJI MN US,20071210,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071211,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071212,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071213,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071214,-9999,-9999,0,229,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071215,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071216,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071217,-9999,-9999,0,203,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071218,-9999,-9999,0,203,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071219,-9999,-9999,0,203,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071220,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071221,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071222,-9999,-9999,43,229,51,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071223,-9999,-9999,5,229,5,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071224,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071226,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071227,-9999,-9999,5,229,5,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071228,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071229,-9999,-9999,-9999,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071230,-9999,-9999,5,229,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20071231,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080101,-9999,-9999,3,229,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080102,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080103,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080104,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080105,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080106,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080107,-9999,-9999,0,254,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080108,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080109,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080110,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080111,-9999,-9999,0,229,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080112,-9999,-9999,3,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080113,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080114,-9999,-9999,0,229,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080115,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080116,-9999,-9999,3,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080117,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080118,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080119,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080120,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080121,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080122,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080123,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080124,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080125,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080126,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080127,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080131,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080201,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080202,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080203,-9999,-9999,0,229,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080204,-9999,-9999,0,254,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080205,-9999,-9999,13,254,13,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080207,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080208,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080209,-9999,-9999,10,279,25,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080211,-9999,-9999,0,279,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080212,-9999,-9999,0,279,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080213,-9999,-9999,-9999,279,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080214,-9999,-9999,33,330,64,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080215,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080217,-9999,-9999,-9999,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080219,-9999,-9999,0,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080220,-9999,-9999,0,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080221,-9999,-9999,0,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080222,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080223,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080224,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080225,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080226,-9999,-9999,0,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080227,-9999,-9999,0,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080228,-9999,-9999,0,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080229,-9999,-9999,18,356,25,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080301,-9999,-9999,0,279,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080302,-9999,-9999,0,279,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080303,-9999,-9999,-9999,-9999,20,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080304,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080305,-9999,-9999,-9999,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080306,-9999,-9999,0,330,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080307,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080308,-9999,-9999,-9999,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080309,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080311,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080312,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080313,-9999,-9999,10,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080314,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080315,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080316,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080318,-9999,-9999,8,203,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080319,-9999,-9999,0,203,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080320,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080321,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080322,-9999,-9999,13,-9999,13,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080323,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080324,-9999,-9999,0,127,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080325,-9999,-9999,13,152,13,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080326,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080327,-9999,-9999,0,152,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080329,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080330,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080331,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080401,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080402,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080403,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080405,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080406,-9999,-9999,61,-9999,114,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080407,-9999,-9999,173,356,356,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080408,-9999,-9999,-9999,254,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080409,-9999,-9999,0,152,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080410,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080411,-9999,-9999,99,-9999,203,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080412,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080413,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080414,-9999,-9999,0,178,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080415,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080416,-9999,-9999,0,25,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080417,-9999,-9999,0,0,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080418,-9999,-9999,0,0,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080419,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080420,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080421,-9999,-9999,0,0,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080422,-9999,-9999,5,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080423,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080424,-9999,-9999,191,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080425,-9999,-9999,30,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080426,-9999,-9999,-9999,203,203,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080427,-9999,-9999,249,254,102,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080428,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080502,-9999,-9999,0,0,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080503,-9999,-9999,3,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080504,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080505,-9999,-9999,0,0,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080506,-9999,-9999,0,-9999,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080507,-9999,-9999,81,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080508,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080509,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080512,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080513,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080514,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080516,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080517,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080518,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080519,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080521,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080522,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080523,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080524,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080525,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080526,-9999,-9999,5,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080527,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080528,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080529,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080601,-9999,-9999,-9999,0,0,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080602,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080603,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080608,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080611,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080616,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080617,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080618,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080620,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080621,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080622,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080623,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080624,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080625,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080626,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080628,-9999,-9999,25,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080630,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080701,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080703,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080704,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080705,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080706,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080707,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080708,-9999,-9999,86,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080709,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080714,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080715,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080716,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080718,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080719,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00210643,BEMIDJI MN US,20080722,-9999,-9999,0,-9999,-9999,-9999,-9999
