Origin,Dest,IsDelayed
BTV,ATL,259
BTV,CLE,125
BTV,CVG,111
BTV,DTW,232
BTV,EWR,574
BTV,JFK,794
BTV,MCO,0
BTV,MSP,14
BTV,ORD,257
BTV,PHL,65
BUF,ATL,959
BUF,BOS,188
BUF,BWI,628
BUF,CLE,330
BUF,CLT,479
BUF,CVG,228
BUF,DCA,64
BUF,DTW,349
BUF,EWR,610
BUF,FLL,15
BUF,GSP,0
BUF,IAD,270
BUF,JFK,1521
BUF,LAS,61
BUF,MCO,328
BUF,MDW,234
BUF,MSP,66
BUF,ORD,1154
BUF,PBI,0
BUF,PHL,305
BUF,PHX,111
BUF,TPA,112
BUF,TYS,0
BUR,CDC,0
BUR,COS,0
BUR,DEN,264
BUR,DFW,388
BUR,JFK,463
BUR,LAS,1307
BUR,LAX,0
BUR,OAK,1220
BUR,PDX,13
BUR,PHX,1035
BUR,SEA,516
BUR,SFO,783
BUR,SJC,633
BUR,SLC,392
BUR,SMF,854
BWI,ABE,1
BWI,ABQ,110
BWI,ALB,779
BWI,ATL,1374
BWI,AUS,211
BWI,AVP,1
BWI,BDL,960
BWI,BHM,331
BWI,BNA,704
BWI,BOS,1802
BWI,BUF,699
BWI,CLE,812
BWI,CLT,1234
BWI,CMH,410
BWI,CVG,448
BWI,DAB,12
BWI,DAY,252
BWI,DCA,1
BWI,DEN,889
BWI,DFW,917
BWI,DTW,840
BWI,EWR,524
BWI,FLL,826
BWI,GRR,0
BWI,HOU,463
BWI,IAH,337
BWI,IND,259
BWI,ISP,875
BWI,JAN,156
BWI,JAX,359
BWI,JFK,407
BWI,LAS,456
BWI,LAX,380
BWI,LGA,1
BWI,LIT,108
BWI,MCI,319
BWI,MCO,1222
BWI,MDW,807
BWI,MEM,251
BWI,MHT,1283
BWI,MIA,326
BWI,MKE,417
BWI,MSN,0
BWI,MSP,312
BWI,MSY,75
BWI,OAK,26
BWI,OKC,51
BWI,ORD,1285
BWI,ORF,501
BWI,PBI,352
BWI,PHL,269
BWI,PHX,753
BWI,PIT,253
BWI,PVD,1192
BWI,PWM,226
BWI,RDU,672
BWI,ROC,318
BWI,RSW,264
BWI,SAN,177
BWI,SAT,176
BWI,SDF,407
BWI,SEA,74
BWI,SFO,95
BWI,SJU,55
BWI,SLC,175
BWI,SRQ,48
BWI,STL,439
BWI,TPA,1043
BZN,ATL,22
BZN,DEN,464
BZN,DTW,2
BZN,GJT,0
BZN,MSN,0
BZN,MSP,215
BZN,ORD,195
BZN,PIH,0
BZN,SFO,9
BZN,SLC,481
BZN,TWF,0
CAE,ATL,684
CAE,CVG,275
CAE,DFW,276
CAE,DTW,172
CAE,EWR,329
CAE,IAD,437
CAE,IAH,55
CAE,LGA,310
CAE,MEM,145
CAE,ORD,537
CAE,RDU,0
CAK,ATL,959
CAK,BOS,149
CAK,CMH,0
CAK,CVG,215
CAK,DEN,126
CAK,DTW,171
CAK,FLL,16
CAK,LAS,11
CAK,LGA,319
CAK,MCO,66
CAK,ORD,255
CAK,RSW,55
CAK,TPA,45
CDV,ANC,121
CDV,YAK,89
CEC,ACV,163
CEC,RDD,0
CEC,SFO,317
CEC,SMF,0
CHA,ATL,637
CHA,BNA,1
CHA,CVG,87
CHA,DFW,124
CHA,IAH,98
CHA,MEM,63
CHA,ORD,188
CHO,ATL,273
CHO,CVG,34
CHS,ATL,969
CHS,BOS,147
CHS,CLT,479
CHS,CVG,262
CHS,DFW,433
CHS,DTW,133
CHS,EWR,489
CHS,IAD,392
CHS,IAH,92
CHS,IND,0
CHS,LGA,405
CHS,MCO,77
CHS,MEM,158
CHS,MKE,0
CHS,MSP,7
CHS,ORD,438
CHS,SAV,0
CIC,SFO,397
CIC,SMF,0
CID,ATL,175
CID,COS,0
CID,CVG,108
CID,DEN,300
CID,DFW,506
CID,DTW,192
CID,MSP,214
CID,ORD,1382
CID,RFD,0
CLD,LAX,518
CLD,PHX,38
CLD,SNA,0
CLE,ABE,191
CLE,ABQ,2
CLE,ALB,251
CLE,ATL,978
CLE,AUS,191
CLE,BDL,168
CLE,BNA,419
CLE,BOS,338
CLE,BTV,171
CLE,BUF,233
CLE,BWI,716
CLE,CLT,373
CLE,CMH,167
CLE,CVG,161
CLE,DAB,3
CLE,DAY,257
CLE,DCA,381
CLE,DEN,339
CLE,DFW,820
CLE,DTW,402
CLE,ERI,0
CLE,EWR,775
CLE,FLL,83
CLE,FWA,0
CLE,GRR,368
CLE,GSP,128
CLE,HPN,72
